ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,hexDigit,657,KILLED,com.squareup.protoparser.ProtoParserTest.defaultFieldWithStringEscapes(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,hexDigit,658,KILLED,com.squareup.protoparser.ProtoParserTest.defaultFieldWithStringEscapes(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,line,943,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,line,943,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,newline,934,KILLED,com.squareup.protoparser.ProtoParserTest.syntaxInWrongContextThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,53,NO_COVERAGE,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,parse,56,NO_COVERAGE,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,parse,54,NO_COVERAGE,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,parse,61,KILLED,com.squareup.protoparser.ProtoParserTest.imports(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,parseUtf8,45,NO_COVERAGE,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,peekChar,592,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,peekChar,593,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,peekChar,591,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,readChar,582,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,readChar,583,KILLED,com.squareup.protoparser.ProtoParserTest.invalidSyntaxValueThrows(com.squareup.protoparser.ProtoParserTest)
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,readComment,784,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,readComment,789,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,readComment,813,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,readComment,817,SURVIVED,none
ProtoParser.java,com.squareup.protoparser.ProtoParser,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,readComment,783,KILLED,com.squareup.protoparser.ProtoParserTest.multipleSingleLineComments(com.squareup.protoparser.ProtoParserTest)
